Freq_Thz,S11-db,VSWR,W1
2.7,-7.673711736,2.409168244,20
2.72,-7.34734464,2.503690789,20
2.74,-7.261746257,2.52997489,20
2.76,-7.375517804,2.495181066,20
2.78,-7.641094939,2.418229256,20
2.8,-7.975223712,2.32914074,20
2.82,-8.225286995,2.267515632,20
2.84,-8.203504567,2.272723613,20
2.86,-7.848516396,2.361972491,20
2.88,-7.306792109,2.516061735,20
2.9,-6.770195529,2.694531146,20
2.92,-6.336005649,2.862267526,20
2.94,-6.017838337,3.00127236,20
2.96,-5.795163093,3.108016687,20
2.98,-5.640533449,3.187290001,20
3,-5.528877756,3.247387894,20
3.02,-5.441157706,3.296391872,20
3.04,-5.366614866,3.339335203,20
3.06,-5.302743684,3.377121951,20
3.08,-5.252650802,3.407420413,20
3.1,-5.221535739,3.426541871,20
3.12,-5.214156649,3.431111105,20
3.14,-5.233930282,3.418896861,20
3.16,-5.282905928,3.389049913,20
3.18,-5.362261391,3.341881277,20
3.2,-5.472704515,3.278581683,20
3.22,-5.614746998,3.200949852,20
3.24,-5.788679339,3.111252568,20
3.26,-5.994469266,3.012088147,20
3.28,-6.231480461,2.906302767,20
3.3,-6.498354247,2.796802118,20
3.32,-6.793105792,2.686303912,20
3.34,-7.113600693,2.57704684,20
3.36,-7.458403317,2.470540272,20
3.38,-7.827811758,2.367445295,20
3.4,-8.224905804,2.267606517,20
3.42,-8.656247776,2.170260561,20
3.44,-9.132206743,2.074339288,20
3.46,-9.666418547,1.978888816,20
3.48,-10.27464835,1.88344423,20
3.5,-10.97211146,1.788407303,20
3.52,-11.76870536,1.695299167,20
3.54,-12.66011513,1.606902692,20
3.56,-13.61288124,1.527230908,20
3.58,-14.54410074,1.461268708,20
3.6,-15.31016118,1.414263431,20
3.62,-15.74129124,1.390288506,20
3.64,-15.73988652,1.39036395,20
3.66,-15.35448867,1.411720557,20
3.68,-14.73198026,1.449181622,20
3.7,-14.02002396,1.4970871,20
3.72,-13.32096043,1.550209101,20
3.74,-12.69257245,1.603955491,20
3.76,-12.16000502,1.654645692,20
3.78,-11.72685697,1.699832208,20
3.8,-11.38625197,1.738150031,20
3.82,-11.13252239,1.768437631,20
3.84,-10.96529763,1.789270199,20
3.86,-10.86233283,1.802458414,20
3.88,-10.72504447,1.820487465,20
