"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
3.2,3.39274409983579,3.27858168291403,3.34791591339342,3.79722098581155,3.5867914784863,3.58499446407849
3.22,3.31487620227365,3.20094985154781,3.27123934481112,3.82753288147911,3.55196404258722,3.56341367315754
3.24,3.23116107479269,3.1112525677946,3.18860209904068,3.83766349590271,3.48674861006154,3.50210271211592
3.26,3.14406116267243,3.01208814745161,3.10249265634432,3.82363453790089,3.38884636654783,3.40197519301993
3.28,3.05526690301201,2.90630276675977,3.01463220617922,3.7820550314143,3.25742967466391,3.26659961917962
3.3,2.96579118230627,2.79680211769952,2.92597421484226,3.71057828749461,3.09405907248526,3.10173292486819
3.32,2.87617546246988,2.68630391206635,2.83678915659128,3.60822886521521,2.90301526443714,2.91468410732017
3.34,2.7867930992608,2.57704683957028,2.74682452788665,3.47558207735924,2.69102142185103,2.71357242412668
3.36,2.69823903461223,2.47054027162771,2.65552417854841,3.31488659417809,2.46651961243709,2.50664218042736
3.38,2.61166370751964,2.36744529529226,2.562282670246,3.13013712054825,2.23868228968257,2.30160497289083
3.4,2.52889645164415,2.26760651726315,2.46670120850644,2.92704831458172,2.01635119646911,2.10508479978832
3.42,2.45223270038391,2.1702605613816,2.36880470000744,2.71279763074014,1.80715389149954,1.92222040537368
3.44,2.38380800105059,2.07433928810168,2.2691789871777,2.49545841060685,1.61701473096918,1.75652290981149
3.46,2.32475789412248,1.97888881575,2.16899724973466,2.28322076367524,1.45036448618145,1.61008570273549
3.48,2.27441912327255,1.88344422979016,2.06992545114634,2.08354263524892,1.31170136228618,1.4843277512759
3.5,2.22994069996137,1.78840730251285,1.97392307463244,1.9025178297739,1.21066043586884,1.38148986677431
3.52,2.18644424139015,1.69529916708684,1.8829767209418,1.74456234848479,1.17177592684524,1.3069914742567
3.54,2.13768809642612,1.60690269228338,1.79881106526642,1.61249437740765,1.21155895081769,1.27073889765763
3.56,2.07700452756556,1.52723090816784,1.72261456986562,1.50777472914019,1.29998902519521,1.28047417486273
3.58,1.99845207909074,1.46126870761499,1.65480949110792,1.43065082478777,1.40980683448583,1.32996435234588
