"Freq [thz]","dB(S(1,1)) [] - W1='4um'","dB(S(1,1)) [] - W1='20um'","dB(S(1,1)) [] - W1='30um'","dB(S(1,1)) [] - W1='40um'","dB(S(1,1)) [] - W1='50um'","dB(S(1,1)) [] - W1='60um'"
3.46,-7.99247019476641,-9.66641854713413,-8.66216745739543,-8.15997414769987,-14.7133310581162,-12.6252784047894
3.48,-8.19643976745606,-10.2746483482877,-9.15548621656957,-9.08407906101831,-17.4038605714635,-14.2013907297973
3.5,-8.38620751997411,-10.9721114642851,-9.69610150273705,-10.1463821164801,-20.4187812064882,-15.90731462643
3.52,-8.58117981082775,-11.7687053591638,-10.2778376352188,-11.331440607766,-22.0370542866767,-17.5183935017678
3.54,-8.81173112022401,-12.6601151302786,-10.8905902018288,-12.5990651625565,-20.3853423151225,-18.472330863236
3.56,-9.11821212533489,-13.612881242816,-11.5215890081928,-13.8723487701592,-17.6924079387538,-18.2026455885095
3.58,-9.5513977346061,-14.5441007399152,-12.1583679190845,-15.0319458283809,-15.3880606950716,-16.9776450610775
3.6,-10.1769570866065,-15.3101611761177,-12.7934974076842,-15.9387843231635,-13.5866096944505,-15.501872940938
3.62,-11.0849943984921,-15.7412912399995,-13.4300980039493,-16.5008273351812,-12.186520562542,-14.164212691306
3.64,-12.4097417217549,-15.7398865218302,-14.0860681433474,-16.7410538791712,-11.0882314351142,-13.0573965817429
3.66,-14.3730787043584,-15.3544886650227,-14.794638376853,-16.7902510014739,-10.2133150813028,-12.1521487342635
3.68,-17.4126787361452,-14.7319802609808,-15.5986187915421,-16.8034735249001,-9.5025360524432,-11.3813185180294
3.7,-22.7517792731936,-14.0200239599703,-16.5314833095714,-16.8327622830338,-8.91496078077217,-10.6764669616416
3.72,-39.6005280764136,-13.3209604280221,-17.5625163464753,-16.6970069157979,-8.42814859376725,-9.99632549493809
3.74,-25.3292283581537,-12.6925724511616,-18.4610596012951,-16.1533247688686,-8.03741504039207,-9.35237019195169
3.76,-18.9849871642329,-12.1600050185151,-18.6608524740418,-15.2871981348933,-7.75288790611698,-8.80793240096467
3.78,-15.6255307305331,-11.7268569658785,-17.6968771810993,-14.3579968459973,-7.59441474938139,-8.43457177130439
3.8,-13.426699767656,-11.3862519666865,-15.9465437303,-13.5146514906142,-7.58539887016289,-8.26005401836064
3.82,-11.8384666016274,-11.1325223931276,-14.0957101061979,-12.7964740240741,-7.74516061843697,-8.25253195183365
3.84,-10.6182038848113,-10.9652976322574,-12.4939017077122,-12.1966357003797,-8.07588377655199,-8.331080463814
3.86,-9.63974924843239,-10.8623328307605,-11.2065077237109,-11.6928777298152,-8.53613369289754,-8.38668036425558
3.88,-8.83214632220471,-10.7250444671533,-10.1770168441775,-11.2578008168935,-9.00483812893423,-8.33381899684089
3.9,-8.15395883537404,-10.4232735616777,-9.32620160379109,-10.8622176390303,-9.29170043660293,-8.16852556969891
3.92,-7.58023903403995,-9.93943045264397,-8.59773417832387,-10.4774802644726,-9.27037293035787,-7.95441141156573
3.94,-7.09516818814291,-9.35796370509347,-7.96219974924509,-10.0787405838263,-9.00599312930439,-7.75627555607226
3.96,-6.6878639918553,-8.76238761878575,-7.40572207348541,-9.64968475548609,-8.6657909600853,-7.60389379153703
3.98,-6.34985509284307,-8.20131879435994,-6.92091505732966,-9.18713967569017,-8.36697586546613,-7.49769730285659
4,-6.07390721800851,-7.69776317732976,-6.50273469179449,-8.7026676957155,-8.14615837379996,-7.42625479141669
4.02,-5.85343659936472,-7.26073840235345,-6.14702996073177,-8.21879040147841,-7.99673198342484,-7.3786404754326
4.04,-5.68242430311033,-6.89205271099276,-5.85014907498166,-7.76144109027544,-7.90207065192469,-7.34917055468161
4.06,-5.55550584997175,-6.58997770740858,-5.60890471342556,-7.35275281613071,-7.8503549312475,-7.33702265046186
4.08,-5.4681809420556,-6.35137899190062,-5.42064291730985,-7.00748368931662,-7.83708289408969,-7.34375716481753
4.1,-5.41699043900911,-6.17294969277645,-5.28331799539428,-6.73320935391569,-7.86203680385757,-7.37099658741737
4.12,-5.39967533825474,-6.05187873789678,-5.19553805644659,-6.53232301413049,-7.92506388131003,-7.41920212382389
4.14,-5.41525044724367,-5.98610882031727,-5.15657901075133,-6.40420936258802,-8.02321674377576,-7.48767430301895
4.16,-5.46405251634406,-5.9743287342886,-5.1663828099625,-6.34672009139229,-8.1498410291991,-7.57547478429239
4.18,-5.54779587252462,-6.01587567407466,-5.2255588372995,-6.35727922825517,-8.29618724945973,-7.6828119256058
4.2,-5.66964612115438,-6.11069434439972,-5.33539808120493,-6.4335935493882,-8.45480107992185,-7.81219817452091
4.22,-5.8344142576861,-6.25945312577834,-5.49789639232755,-6.57429521987117,-8.62305599784944,-7.96862535903142
4.24,-6.04869003700666,-6.4638810704115,-5.71577801673522,-6.77921998125825,-8.8045973238334,-8.15851413563739
4.26,-6.32089759953462,-6.72729966625426,-5.99252413769632,-7.04934209072088,-9.00753183087871,-8.38743610879447
4.28,-6.66086680483626,-7.05530578340703,-6.33244459402756,-7.3859089161493,-9.2400924249364,-8.6573221968368
4.3,-7.07865080499306,-7.45641460833146,-6.74086724766393,-7.78870345218717,-9.5056820672583,-8.96424879139961
4.32,-7.58243600011522,-7.94244652684999,-7.22451162876581,-8.25405620748098,-9.79877215696963,-9.298305924883
4.34,-8.17642779696486,-8.52836569631597,-7.79197835648224,-8.77363687766873,-10.1030105343318,-9.64676951017921
4.36,-8.86046443012081,-9.23124862063092,-8.45393363451437,-9.3351285384348,-10.3936962456989,-10.0004877342058
4.38,-9.6329009718208,-10.068081798176,-9.22201761465897,-9.92419283712737,-10.6471858730479,-10.3603669043407
4.4,-10.4956335985705,-11.0517379109656,-10.1050648615493,-10.5252029246269,-10.8558965807043,-10.7397901781713
